"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
258,12/31/2025 0:00:00,137,0,0,0,0,0,0,911672,0,0,0,0,0,0,0,44638856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98598,0,0,1572831,47266864,0,0,0,0,44907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,131,0,0,0,0,0,0,454
262,12/31/2025 0:00:00,139,0,0,0,0,0,0,2300491,0,0,0,0,0,0,0,1988526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311014,0,0,0,6367447,0,0,0,0,767416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,99,0,0,0,0,0,0,45
266,12/31/2025 0:00:00,143,0,0,0,0,0,0,14259574,0,0,0,0,0,0,0,15919691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881372,0,0,0,33504057,0,0,0,0,443420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,470,0,0,0,0,0,0,60
274,12/31/2025 0:00:00,149,0,0,0,0,0,0,4994365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90226,0,0,0,0,0,0,0,957601,5951966,0,0,0,0,0,40,0,0,0,0,0,3,0,10,0,13,0,13,27,0,0,0,27,40,145,250,3,0,0,0,0,0,732
277,12/31/2025 0:00:00,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,12/31/2025 0:00:00,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
288,12/31/2025 0:00:00,155,0,0,0,0,0,0,540496,0,0,0,0,0,0,0,423890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964386,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,34,0,0,0,0,0,0,63
294,12/31/2025 0:00:00,160,0,0,0,0,0,0,14194302,0,0,0,0,0,0,0,56463735,0,0,0,0,0,0,0,0,0,404068,0,0,0,0,55196,0,0,8012749,78853501,0,0,0,0,127519,23,71,0,0,0,0,0,29,0,31,4,71,75,19,0,4,8,19,94,878,1379,0,0,0,0,0,0,889
303,12/31/2025 0:00:00,166,0,0,0,0,0,0,4498095,0,0,0,0,0,0,0,16961880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,657254,22227543,0,0,0,0,104314,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,141,540,0,0,0,0,0,0,13
306,12/31/2025 0:00:00,168,0,0,0,0,0,0,6551327,0,0,0,0,0,0,0,10097157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19433884,0,0,0,0,2785400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,400,0,0,0,0,0,0,87
319,12/31/2025 0:00:00,173,0,0,0,0,0,0,24736630,0,0,0,0,0,0,0,47101779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7470768,0,0,0,84004284,0,0,0,0,4695107,0,25,0,0,0,0,0,4,0,13,0,25,25,0,0,0,7,0,25,393,1246,0,0,0,0,0,0,87
320,12/31/2025 0:00:00,174,0,0,0,0,0,0,3015550,0,0,0,0,0,0,0,4121342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952930,0,0,0,9089822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,137,0,0,0,0,0,0,3
340,12/31/2025 0:00:00,183,0,0,0,0,0,0,22699062,0,0,0,0,0,0,0,125973488,0,0,0,0,0,0,0,0,0,2444902,0,0,0,0,4720241,0,0,0,155162869,0,0,0,0,1770078,48,12,0,0,0,0,14,2,12,5,29,12,41,19,0,0,0,19,60,1418,1166,0,0,0,0,0,0,184
