"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
66665,12/31/2025 0:00:00,20887,0,0,185078,105014,1,0,64951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4295,0,0,-28,4267,0,0,0,0,17,15662701,0,0,0,0,0,0,0,0,01/01/2023,0,20309740,0,0,0,0,0,0,0,0,0,0,0,5354,0,0,0,0,0,0,0,0,0,0
66677,12/31/2025 0:00:00,20899,0,0,109814,20670,1,0,151324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,56,1000000,750000,500000,0,0,2250000,0,-1,0,135131,0,-162,0,134969,0,0,0,0,639,36512840,0,0,0,0,0,0,0,0,01/01/2023,44788,41391802,0,0,0,0,0,0,0,0,0,0,0,95055,0,0,0,153,4521488,0,0,0,0,0
66678,12/31/2025 0:00:00,20900,0,0,4508211,0,1,0,2139745,0,0,0,0,0,0,0,0,0,0,0,0,7663875,15922279,8486450,13485825,0,45558429,0,0,0,0,0,0,0,-86419,0,1699700,0,0,0,1699700,0,0,0,0,280,480199632,0,0,0,0,0,0,0,0,01/01/2023,20770,531824054,0,0,0,0,0,0,0,0,0,0,0,5993862,0,0,0,0,0,0,0,0,0,0
66683,12/31/2025 0:00:00,20905,0,0,394979,3852,1,0,261249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72741,0,0,0,72741,0,0,0,0,0,30891705,0,0,0,0,0,0,0,0,01/01/2023,122881,36274860,0,0,0,0,0,0,0,0,0,0,0,293535,0,0,0,0,0,0,0,0,0,0
66686,12/31/2025 0:00:00,20908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2774995,0,0,0,0,0,0,0,0,,0,3082879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66699,12/31/2025 0:00:00,20921,0,1346616,4073696,0,1,0,5429400,0,0,0,0,0,0,0,0,0,0,0,0,8939846,24271957,40078222,65950253,27777340,167017618,0,0,0,0,0,0,0,-11103330,0,1481369,0,0,0,1481369,0,0,0,0,0,804912675,0,0,0,38,25047694,25047694,0,0,10/01/2023,1368482,869721718,0,0,0,0,0,0,0,0,0,0,0,3618205,0,0,0,0,0,0,0,0,0,0
66700,12/31/2025 0:00:00,20922,0,33705494,686891,0,1,0,31501,0,0,0,0,0,0,0,0,0,0,0,0,0,401274,200086,0,0,601360,0,0,0,0,0,0,0,1484,0,24189,0,0,0,24189,0,0,0,0,0,57580823,0,0,0,0,0,0,0,0,10/01/2023,32705,75282625,0,0,0,0,0,0,0,0,0,0,0,303166,0,0,0,0,0,0,0,0,0,0
66703,12/31/2025 0:00:00,20925,0,147507247,30509677,0,1,0,39529420,0,0,0,0,0,0,0,0,0,0,0,0,556803937,181460713,405984275,811903967,167167997,2123320890,0,0,0,0,0,0,0,-143726877,0,10750000,0,0,150000,10900000,0,0,0,0,1430000,5937876381,0,0,0,0,0,0,0,0,01/01/2023,37000000,6305742414,0,0,0,0,0,0,0,0,0,0,0,57265380,0,8554461,3247076,0,0,0,0,0,0,0
66706,12/31/2025 0:00:00,20928,0,227463,1576414,98091,1,0,619912,0,0,0,0,0,0,0,0,0,0,0,0,2290540,5533585,3405652,24916920,45197907,81344604,28569,10776,391527,0,0,430872,0,-20620281,0,336972,0,0,0,336972,0,0,0,0,12750,319909945,0,0,0,0,0,0,0,0,01/01/2023,192000,341066612,0,0,0,0,0,0,0,0,0,0,0,1074524,0,0,0,0,0,0,0,0,0,0
66707,12/31/2025 0:00:00,20929,0,0,1053485,0,1,0,961362,0,0,0,0,0,0,0,0,0,0,0,0,152586,0,141525,0,0,294112,4232000,6687000,988000,0,0,11907000,0,-10281,0,669753,0,0,0,669753,0,0,0,0,0,98524254,0,0,0,0,0,0,0,0,07/01/2023,48828,109152002,0,0,0,0,0,0,0,0,0,0,0,440539,0,0,0,0,0,0,0,0,0,0
